repo_full_name,repo_type,addon_or_project,platform,category,primary_use,feature_summary,savedvars_present,savedvars_scope,settings_framework,vault_capture_mode,vault_complexity,vault_priority,evidence_level,lineage_status,notes
nicokimmel/wizardswardrobe,original,Wizards Wardrobe,PC/Mac;console publication exists,combat;addon-management,Build and setup management,"Pages and setups; account-wide settings; character-scoped setup storage; settings menu with getFunc/setFunc and reload-aware options",yes,mixed,settings descriptors;framework usage to inspect,explicit-adapter,high,critical,source-inspected,verified primary repo,"WizardsWardrobeSV uses character and account-wide ZO_SavedVars scopes"
Dolgubon/DolgubonsLazyWritCreator,original,Dolgubon's Lazy Writ Crafter,PC/Mac;Console,crafting,Crafting writ automation,"Automates / assists daily crafting writ workflow; exact current feature surface to enrich from README/source",unknown,unknown,unknown,unknown,unknown,high,repository-metadata,primary repo likely; verify release lineage,"Strong console adoption; source inspection pending"
B7TxSpeed/FancyActionBar,unknown,Fancy Action Bar,PC/Mac;Console,combat;UI-HUD,Action bar and combat effect presentation,"Timers / action-bar enhancement; exact maintained lineage and current console variant need verification",unknown,unknown,unknown,unknown,unknown,high,repository-metadata,lineage check required,"Official ESO forum has console-specific FAB+ support discussion"
Ayantir/LoreBooks,original,LoreBooks,PC/Mac;console variants exist,map-exploration;completion,Lorebook discovery and map assistance,"Map pins / lorebook location assistance; current console implementation lineage should be cross-walked",unknown,unknown,unknown,unknown,unknown,medium,repository-metadata,original PC lineage; console lineage pending,"Large location datasets should be separated from portable settings"
simenon/LostTreasure,original,LostTreasure,PC/Mac,map-exploration,Treasure-map and survey assistance,"Treasure/survey location assistance; exact features and SavedVariables pending source inspection",unknown,unknown,unknown,unknown,unknown,medium,repository-metadata,verified discovery,"Potential map-data versus settings split"
Baertram/pChat,original,pChat,PC/Mac,chat-social,Chat interface customization,"Chat behavior / UI customization; detailed option inventory pending source inspection",unknown,unknown,unknown,unknown,unknown,medium,repository-metadata,verified discovery,"Useful profile/settings portability candidate"
klingo/ESO-PersonalAssistant,original,Personal Assistant,PC/Mac,automation-QoL;inventory,Multi-module player assistance,"Broad personal automation and inventory-oriented helper suite; exact modules to enrich",unknown,unknown,unknown,unknown,high,high,repository-metadata,verified discovery,"Likely mixed settings/state, requires adapter analysis"
silvereyes333/LibSavedVars,library,LibSavedVars,PC/Mac,library-framework,SavedVariables lifecycle helpers,"Reusable SavedVariables abstraction / lifecycle library",yes,mixed,library,none,medium,critical,repository-metadata,verified discovery,"Core comparative research for Vault persistence design"
kyoma/ESO-RaidNotifier,original,ESO RaidNotifier,PC/Mac,combat,Raid and trial mechanic notifications,"Encounter / mechanic alerts; configuration likely encounter-specific; exact schema pending",unknown,unknown,unknown,unknown,medium,medium,repository-metadata,verified discovery,"Compare with console-focused forks/ports"
inimicus/CruxCounter,original,CruxCounter,PC/Mac,combat,Arcanist Crux tracking,"Focused combat resource tracker; small specimen for settings/storage analysis",unknown,unknown,unknown,unknown,low,medium,repository-metadata,verified discovery,"Useful low-complexity comparison target"
j-blandford/BetterUI,original,BetterUI,PC/Mac,UI-HUD,Gamepad/UI improvement,"Broad user-interface improvements with strong gamepad relevance; exact feature inventory pending",unknown,unknown,unknown,unknown,high,high,repository-metadata,lineage check prudent,"Important console/gamepad design reference"
